Date,trend,breadth,vol,appetite,reversion,bias,band,spy10,spy15,spy20,iwm15
2019-10-07,-15.0,-10.0,6.0,-7.0,0.0,-26.0,lean_puts,2.36,3.49,4.88,5.01
2019-10-08,-15.0,-20.0,-5.0,-7.0,4.0,-43.0,favor_puts,3.63,5.09,6.41,7.09
2019-10-09,-15.0,-15.0,6.0,-7.0,0.0,-31.0,favor_puts,2.96,4.42,5.43,6.25
2019-10-10,-7.0,-10.0,6.0,-7.0,0.0,-18.0,lean_puts,2.43,3.44,5.09,5.23
2019-10-11,17.0,0.0,11.0,-2.0,0.0,26.0,lean_calls,1.8,3.33,4.27,5.25
2019-10-14,17.0,0.0,20.0,-2.0,0.0,35.0,favor_calls,2.48,3.86,4.19,6.2
2019-10-15,17.0,0.0,20.0,0.0,0.0,37.0,favor_calls,1.45,2.73,3.39,5.13
2019-10-16,21.0,0.0,20.0,-6.0,0.0,35.0,favor_calls,1.92,2.92,3.59,4.41
2019-10-17,21.0,5.0,20.0,0.0,0.0,46.0,favor_calls,1.35,2.97,3.43,3.46
2019-10-18,21.0,0.0,20.0,0.0,0.0,41.0,favor_calls,2.74,3.68,4.64,4.24
2019-10-21,21.0,5.0,20.0,0.0,0.0,46.0,favor_calls,2.46,2.79,4.01,3.08
2019-10-22,25.0,10.0,20.0,-4.0,0.0,51.0,favor_calls,2.68,3.34,4.32,3.0
2019-10-23,25.0,10.0,20.0,0.0,0.0,55.0,favor_calls,2.41,3.07,3.63,2.43
2019-10-24,25.0,10.0,20.0,0.0,0.0,55.0,favor_calls,2.6,3.06,3.3,2.54
2019-10-25,25.0,10.0,20.0,7.0,0.0,62.0,favor_calls,2.43,3.38,3.1,2.53
2019-10-28,25.0,10.0,20.0,7.0,0.0,62.0,favor_calls,1.67,2.88,3.32,1.39
2019-10-29,25.0,15.0,20.0,7.0,0.0,67.0,favor_calls,1.91,2.88,3.58,1.44
2019-10-30,25.0,10.0,20.0,7.0,0.0,62.0,favor_calls,1.63,2.18,3.73,1.39
2019-10-31,25.0,10.0,20.0,7.0,0.0,62.0,favor_calls,2.05,2.29,3.62,1.47
2019-11-01,25.0,15.0,20.0,7.0,-3.0,64.0,favor_calls,1.85,1.57,1.8,0.08
2019-11-04,25.0,15.0,20.0,7.0,2.0,69.0,favor_calls,1.51,1.95,0.71,1.65
2019-11-05,25.0,20.0,14.0,7.0,-3.0,63.0,favor_calls,1.6,2.3,1.44,1.6
2019-11-06,25.0,20.0,14.0,7.0,-3.0,63.0,favor_calls,1.2,2.73,1.6,2.91
2019-11-07,25.0,20.0,14.0,7.0,-3.0,63.0,favor_calls,0.68,1.99,2.17,1.97
2019-11-08,25.0,15.0,14.0,7.0,-3.0,58.0,favor_calls,0.65,0.87,1.6,0.7
2019-11-11,25.0,15.0,14.0,7.0,-3.0,58.0,favor_calls,1.63,0.39,1.68,0.57
2019-11-12,25.0,10.0,14.0,1.0,-3.0,47.0,favor_calls,1.64,0.8,1.75,1.23
2019-11-13,25.0,10.0,14.0,1.0,-3.0,47.0,favor_calls,2.06,0.94,2.6,1.76
2019-11-14,25.0,10.0,14.0,5.0,-3.0,51.0,favor_calls,1.54,1.72,2.51,2.99
2019-11-15,25.0,10.0,14.0,5.0,-3.0,51.0,favor_calls,-0.05,0.67,2.47,2.26
2019-11-18,25.0,0.0,14.0,5.0,-8.0,36.0,favor_calls,-0.79,0.48,2.42,2.58
2019-11-19,25.0,-5.0,14.0,5.0,-3.0,36.0,favor_calls,-0.15,0.8,2.46,2.17
2019-11-20,25.0,0.0,14.0,-1.0,-3.0,35.0,favor_calls,0.4,2.05,3.26,3.44
2019-11-21,25.0,5.0,14.0,-1.0,-3.0,40.0,favor_calls,1.48,2.27,3.37,3.55
2019-11-22,25.0,0.0,14.0,5.0,-3.0,41.0,favor_calls,0.94,2.75,3.3,3.58
2019-11-25,25.0,10.0,14.0,3.0,-3.0,49.0,favor_calls,0.05,1.98,2.51,1.93
2019-11-26,25.0,5.0,14.0,9.0,-3.0,50.0,favor_calls,0.11,1.75,2.82,2.06
