t,date,kind,pattern,rvol,rs5,ret5,clpos,gap,regime,px,entry,vr20,h20,best5,mae5,close5,best10,mae10,close10,best20,mae20,close20,fired
ABAT,2024-12-24,brk10,True,20.89,202.8,202.3,0.64,10.7,neutral,2.6,2.84,10.66,42.1,45.0,-8.3,-24.9,45.0,-8.3,-28.0,45.0,-8.3,-53.4,False
ABAT,2024-12-26,brk10,True,13.76,254.2,256.8,0.43,9.0,neutral,3.14,3.63,12.68,6.3,13.2,-19.8,-32.0,13.2,-19.8,-49.0,13.2,-19.8,-60.9,False
ABAT,2025-01-31,failbd,True,0.59,15.9,14.9,0.88,2.2,bull,1.62,1.53,0.29,-48.6,6.8,-7.5,-14.7,6.8,-7.5,-10.1,6.8,-7.5,-40.1,False
ABAT,2025-02-13,failbd,True,0.42,-4.3,-3.7,0.78,-0.9,bull,1.3,1.33,0.69,-42.2,4.4,-4.5,-25.6,4.4,-4.5,-24.8,4.4,-4.5,-26.3,False
ABAT,2025-02-14,failbd,True,0.27,3.9,5.3,0.92,2.3,bull,1.38,1.35,0.59,-38.7,0.0,-10.4,-24.4,0.0,-10.4,-31.9,0.0,-10.4,-18.5,False
ABAT,2025-03-17,brk10,True,0.24,16.1,17.3,0.77,-1.5,bear,1.1,1.07,0.68,-20.8,5.6,-6.5,-5.6,14.0,-6.5,-3.7,14.0,-6.5,-4.7,False
ABAT,2025-03-27,brk10,True,0.66,13.2,13.5,0.82,0.0,bear,1.18,1.15,1.87,3.5,2.2,-13.0,-12.2,2.2,-13.0,-15.9,5.2,-25.2,0.0,False
ABAT,2025-04-14,failbd,True,0.57,-3.3,3.6,0.0,4.3,bear,1.02,1.07,0.6,-16.4,12.1,-4.7,0.0,43.9,-4.7,43.0,65.4,-4.7,30.8,False
ABAT,2025-04-17,brk10,True,0.84,20.6,21.0,1.0,2.8,bear,1.17,1.19,1.06,-4.1,1.7,-10.9,-3.4,48.7,-10.9,26.1,48.7,-10.9,30.3,False
ABAT,2025-04-29,brk10,True,6.48,37.9,43.0,0.98,3.5,bear,1.53,1.56,2.82,26.4,13.5,-16.0,-9.6,13.5,-16.0,-10.3,13.5,-16.0,-12.8,True
ABAT,2025-04-30,brk10,True,7.7,50.5,54.1,0.87,2.0,bear,1.71,1.54,6.8,11.0,10.4,-9.1,-13.0,10.4,-9.1,2.6,10.4,-9.1,-13.0,True
ABAT,2025-06-05,sample,False,0.6,7.7,8.2,0.0,2.7,bull,1.45,1.47,0.82,-10.5,1.4,-3.4,-6.8,1.4,-3.4,-13.6,39.5,-18.4,27.9,False
ABAT,2025-06-26,failbd,True,0.91,-1.7,0.7,0.74,-0.8,bull,1.35,1.39,1.08,-12.9,47.5,-0.7,31.7,47.5,-0.7,20.9,179.9,-0.7,127.0,False
ABAT,2025-06-27,failbd,True,11.41,11.5,15.0,0.24,3.0,bull,1.46,1.55,6.84,-5.8,32.3,-4.5,21.4,32.3,-4.5,6.5,151.1,-4.5,85.9,False
ABAT,2025-07-02,brk10,True,2.81,44.7,46.9,0.86,0.0,bull,1.88,1.92,3.11,4.4,6.8,-6.8,-7.3,29.7,-19.3,22.9,102.6,-19.3,13.0,True
ABAT,2025-07-16,brk10,True,3.31,16.1,16.1,0.68,2.6,bull,2.09,2.14,1.51,2.0,54.2,-7.5,44.9,81.8,-7.5,4.7,81.8,-7.5,15.4,False
ABAT,2025-07-17,brk10,True,6.47,32.2,32.6,0.75,2.4,bull,2.36,2.48,2.87,7.8,37.9,-10.1,35.9,56.9,-10.1,-12.5,56.9,-10.1,9.7,False
ABAT,2025-07-21,brk10,True,7.24,54.5,55.2,0.07,12.1,bull,2.56,2.89,4.01,2.8,34.6,-14.2,-0.3,34.6,-14.2,-20.8,34.6,-14.2,-9.2,False
ABAT,2025-07-24,brk10,True,3.92,41.8,42.8,0.86,1.0,bull,3.37,3.74,2.5,2.1,3.9,-22.8,-42.1,3.9,-22.8,-44.5,3.9,-22.8,-35.1,True
ABAT,2025-08-14,brk10,True,2.29,28.8,30.8,0.88,0.0,bull,2.72,2.76,0.87,-30.1,4.0,-5.8,-12.0,4.0,-5.8,-8.7,4.0,-5.8,-15.9,True
ABAT,2025-08-15,brk10,True,1.48,27.9,28.8,0.63,1.5,bull,2.77,2.77,0.86,-28.8,0.0,-10.5,-4.7,1.8,-19.9,-10.8,1.8,-19.9,-13.7,False
ABAT,2025-08-18,sample,False,0.99,15.5,16.7,0.5,0.0,bull,2.62,2.6,0.79,-32.5,5.8,-14.6,0.4,8.5,-14.6,-7.3,8.5,-14.6,-4.2,False
ABAT,2025-09-18,brk10,True,2.58,24.8,25.5,0.97,3.9,bull,3.0,3.14,2.18,6.4,61.2,-4.6,38.0,74.6,-4.6,59.3,265.3,-4.6,80.3,True
ABAT,2025-09-19,brk10,True,3.21,41.3,42.2,0.63,4.8,bull,3.3,3.09,3.4,9.5,64.3,-2.8,42.0,78.0,-2.8,58.2,272.4,-2.8,57.2,False
ABAT,2025-09-22,brk10,True,2.42,56.8,57.7,0.94,-6.5,bull,3.77,3.87,4.34,9.9,33.6,-3.1,33.3,49.4,-3.1,38.5,196.9,-3.1,73.6,True
ABAT,2025-09-23,brk10,True,2.79,65.4,65.9,0.64,2.7,bull,4.13,4.42,4.05,8.1,19.2,-7.0,10.0,30.8,-7.0,25.8,160.0,-7.0,38.0,False
ABAT,2025-09-24,brk10,True,3.14,93.1,93.4,0.45,7.0,bull,4.7,4.19,3.55,8.2,31.0,-1.9,23.9,46.3,-1.9,42.7,174.2,-1.9,41.8,False
ABAT,2025-09-29,brk10,True,3.1,37.3,36.9,0.99,10.3,bull,5.16,5.25,2.13,1.8,10.1,-12.4,2.1,93.9,-12.4,75.6,118.9,-12.4,2.7,True
ABAT,2025-10-08,brk10,True,2.06,14.5,15.2,0.74,0.7,bull,5.98,6.12,1.65,3.5,87.7,-2.9,46.2,87.7,-2.9,-2.9,87.7,-2.9,-35.0,False
ABAT,2025-10-09,brk10,True,1.98,24.3,24.6,0.52,2.3,bull,6.24,6.4,1.35,1.8,79.5,-0.2,-11.4,79.5,-0.2,-12.2,79.5,-0.2,-42.3,False
ABAT,2025-10-10,brk10,True,2.84,40.7,38.3,0.38,2.6,bull,6.75,7.9,1.59,3.6,45.4,-2.0,-38.6,45.4,-2.0,-24.3,45.4,-2.0,-43.9,False
ABAT,2025-10-13,brk10,True,5.27,73.3,72.0,0.61,17.0,bull,9.22,10.03,2.29,25.6,14.5,-19.2,-33.0,14.5,-19.2,-46.3,14.5,-19.2,-57.3,False
ABAT,2025-10-14,brk10,True,4.74,104.8,103.8,0.99,8.8,bull,11.33,11.41,2.9,11.3,0.7,-29.0,-46.6,0.7,-29.0,-55.0,0.7,-29.0,-64.4,True
ABAT,2025-11-18,failbd,True,0.57,-5.8,-9.1,0.75,0.9,neutral,3.69,3.8,0.51,-47.6,11.8,-9.5,-6.3,11.8,-9.5,-1.3,17.4,-15.0,-4.2,False
ABAT,2025-11-19,failbd,True,0.95,-4.5,-7.6,0.57,3.0,bear,4.02,4.15,0.68,-38.4,2.4,-17.1,-13.7,2.4,-17.1,1.0,7.5,-22.2,-9.2,False
ABAT,2025-11-25,failbd,True,0.38,-5.8,-3.5,0.84,0.9,neutral,3.56,3.62,0.68,-35.0,5.5,-4.1,3.6,21.8,-6.9,10.8,23.2,-6.9,9.7,False
ABAT,2025-11-28,failbd,True,0.23,1.8,6.6,0.64,3.4,neutral,3.74,3.62,0.5,-31.8,21.8,-6.9,14.6,21.8,-6.9,13.0,23.2,-6.9,-3.3,False
ABAT,2025-12-03,sample,False,0.26,4.0,5.3,0.85,0.4,bull,3.75,3.75,0.62,-20.0,17.6,-1.1,6.9,18.9,-1.1,-2.9,18.9,-1.1,-1.3,False
ABAT,2026-01-02,failbd,True,0.31,-5.8,-6.8,0.97,2.4,bull,3.7,3.87,0.79,-17.0,28.7,-0.8,24.0,37.7,-0.8,24.8,37.7,-0.8,0.8,False
ABAT,2026-01-05,failbd,True,1.06,22.4,22.0,0.95,4.6,bull,4.66,4.76,1.26,4.5,11.6,-10.7,8.6,12.0,-10.7,1.9,12.0,-10.7,-9.7,False
ABAT,2026-01-09,sample,False,0.67,28.1,29.7,0.9,2.4,bull,4.8,4.8,1.35,-3.6,11.0,-5.0,0.6,11.0,-5.0,-9.2,11.0,-5.0,-12.9,False
ABAT,2026-01-12,brk10,True,0.95,9.9,10.9,0.81,0.0,bull,5.17,5.29,1.37,3.8,0.8,-13.0,-8.3,0.8,-13.0,-10.2,0.8,-13.0,-22.5,False
ABAT,2026-02-17,sample,False,0.52,-10.8,-12.4,0.43,-0.9,bear,3.66,3.71,0.57,-28.4,2.7,-4.0,-1.3,4.0,-7.0,-5.7,4.0,-7.0,-11.9,False
ABAT,2026-02-25,failbd,True,0.61,1.7,2.7,0.4,2.7,neutral,3.76,3.68,0.6,-23.3,4.7,-2.0,-4.7,4.7,-2.0,-5.0,4.7,-2.0,-22.4,False
ABAT,2026-03-10,failbd,True,0.66,2.5,2.0,0.7,0.6,bear,3.57,3.51,0.91,-15.8,4.1,-1.7,-6.8,4.1,-1.7,-18.5,4.1,-1.7,-18.2,False
ABAT,2026-03-24,sample,False,0.39,-9.9,-12.5,0.64,-1.7,bear,2.86,2.91,0.99,-25.9,3.1,-3.1,-4.1,3.8,-15.1,-1.4,23.7,-15.1,23.4,False
ABAT,2026-04-15,brk10,True,0.97,8.0,11.5,0.8,1.0,bull,3.2,3.25,1.17,-4.9,10.8,-3.1,10.5,12.0,-3.1,-5.2,14.5,-5.8,9.2,False
ABAT,2026-04-17,brk10,True,1.25,14.8,19.3,0.48,3.1,bull,3.4,3.29,1.34,4.0,10.6,-1.8,-0.3,10.6,-1.8,-0.6,13.1,-7.0,-4.9,False
ABAT,2026-04-22,brk10,True,1.04,10.6,12.2,0.96,1.2,bull,3.59,3.56,1.45,1.1,2.2,-9.3,-13.5,2.2,-9.3,-4.1,4.5,-14.0,-14.3,False
ABAT,2026-04-29,sample,False,1.24,-14.3,-14.2,0.07,0.6,bull,3.08,3.13,1.57,-15.4,10.5,0.0,9.1,18.8,-2.1,13.4,27.8,-11.2,21.1,False
ABAT,2026-05-13,brk10,True,2.39,2.8,4.0,0.67,-0.6,bull,3.55,3.52,1.58,-2.5,0.1,-7.4,-13.4,13.6,-21.0,7.7,20.7,-21.0,-2.8,False
ABAT,2026-05-21,failbd,True,1.33,-5.4,-6.1,0.88,-1.0,bull,3.21,3.22,1.02,-13.7,24.2,-2.2,12.1,24.2,-2.2,-3.4,32.0,-5.3,-9.0,False
ABAT,2026-05-26,failbd,True,1.71,16.9,18.5,0.88,2.2,bull,3.52,3.49,1.13,-5.4,14.6,-2.9,12.9,21.8,-12.6,-7.2,21.8,-12.6,-22.6,True
ABAT,2026-05-27,failbd,True,1.84,23.8,26.1,0.76,-0.9,bull,3.58,3.53,1.27,-3.8,13.3,-1.1,2.5,20.4,-13.6,-12.9,20.4,-13.6,-23.5,True
ABAT,2026-05-28,brk10,True,2.22,22.5,24.3,0.59,-1.4,bull,3.79,3.73,1.48,1.9,7.2,-7.2,-0.5,13.9,-18.2,-8.3,13.9,-18.2,-27.1,False
ABAT,2026-07-09,failbd,True,0.44,-3.7,-2.9,0.54,1.5,bull,2.68,2.69,0.42,-31.1,1.5,-3.3,-10.0,1.5,-3.3,-15.2,1.5,-3.3,-11.2,False
